hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-05-21T03:00:00Z,485022.1614889183,701649.0752823915,-216626.9137934732,216626.9137934732,rolling_mean_6h
2026-05-21T04:00:00Z,472736.0930997774,697978.8851681637,-225242.79206838628,225242.79206838628,rolling_mean_6h
2026-05-21T05:00:00Z,460320.0822074215,673334.3414710426,-213014.25926362112,213014.25926362112,rolling_mean_6h
2026-05-21T06:00:00Z,434096.8972681801,622620.2828022045,-188523.3855340244,188523.3855340244,rolling_mean_6h
2026-05-21T07:00:00Z,509776.203130496,539530.7894223882,-29754.586291892163,29754.586291892163,rolling_mean_6h
2026-05-21T08:00:00Z,475691.6258925216,473741.2543593235,1950.3715331981075,1950.3715331981075,rolling_mean_6h
2026-05-21T09:00:00Z,468612.818401693,472940.51051455253,-4327.692112859513,4327.692112859513,rolling_mean_6h
2026-05-21T10:00:00Z,409673.73689808545,470205.62000001495,-60531.8831019295,60531.8831019295,rolling_mean_6h
2026-05-21T11:00:00Z,517951.58786814904,459695.2272997329,58256.36056841613,58256.36056841613,rolling_mean_6h
2026-05-21T12:00:00Z,429265.90579640487,469300.47824318754,-40034.572446782666,40034.572446782666,rolling_mean_6h
2026-05-21T13:00:00Z,603109.8266,468495.3129978916,134614.5136021084,134614.5136021084,rolling_mean_6h
2026-05-21T14:00:00Z,502685.7642,484050.91690947564,18634.84729052434,18634.84729052434,rolling_mean_6h
2026-05-21T15:00:00Z,475406.9880327525,488549.93996072205,-13142.951927969581,13142.951927969581,rolling_mean_6h
2026-05-21T16:00:00Z,492410.2006845053,489682.30156589864,2727.8991186066414,2727.8991186066414,rolling_mean_6h
2026-05-21T17:00:00Z,439188.4161742984,503471.71219696867,-64283.296022670285,64283.296022670285,rolling_mean_6h
2026-05-21T18:00:00Z,488256.9347893916,490344.5169146601,-2087.5821252685273,2087.5821252685273,rolling_mean_6h
2026-05-21T19:00:00Z,532689.1968435321,500176.3550801579,32512.84176337422,32512.84176337422,rolling_mean_6h
2026-05-21T20:00:00Z,478144.9191264064,488439.5834540799,-10294.664327673498,10294.664327673498,rolling_mean_6h
2026-05-21T21:00:00Z,511966.8712726454,484349.442608481,27617.428664164443,27617.428664164443,rolling_mean_6h
2026-05-21T22:00:00Z,724900.3243741766,490442.75648179656,234457.56789238,234457.56789238,rolling_mean_6h
2026-05-21T23:00:00Z,701472.8989356945,529191.1104300751,172281.7885056194,172281.7885056194,rolling_mean_6h
2026-05-22T00:00:00Z,521655.73532731377,572905.1908903077,-51249.455562993884,51249.455562993884,rolling_mean_6h
2026-05-22T01:00:00Z,489312.79091105354,578471.6576466281,-89158.86673557456,89158.86673557456,rolling_mean_6h
2026-05-22T02:00:00Z,453904.92464620474,571242.2566578817,-117337.33201167692,117337.33201167692,rolling_mean_6h
2026-05-22T03:00:00Z,481033.7091957923,567202.257577848,-86168.54838205571,86168.54838205571,rolling_mean_6h
2026-05-22T04:00:00Z,494800.95861486485,562046.7305650393,-67245.77195017447,67245.77195017447,rolling_mean_6h
2026-05-22T05:00:00Z,461182.1527740067,523696.8362718206,-62514.68349781388,62514.68349781388,rolling_mean_6h
2026-05-22T06:00:00Z,481587.78409586055,483648.378578206,-2060.5944823454483,2060.5944823454483,rolling_mean_6h
2026-05-22T07:00:00Z,453618.07370015146,476970.3867062971,-23352.313006145647,23352.313006145647,rolling_mean_6h
2026-05-22T08:00:00Z,443959.5709070998,471021.26717114676,-27061.696264046943,27061.696264046943,rolling_mean_6h
2026-05-22T09:00:00Z,423299.16100895806,469363.70821462927,-46064.5472056712,46064.5472056712,rolling_mean_6h
2026-05-22T10:00:00Z,478977.18934755994,459741.28351682355,19235.90583073639,19235.90583073639,rolling_mean_6h
2026-05-22T11:00:00Z,397405.36153032776,457103.9886389395,-59698.62710861175,59698.62710861175,rolling_mean_6h
2026-05-22T12:00:00Z,533952.3378,446474.5234316596,87477.81436834036,87477.81436834036,rolling_mean_6h
2026-05-22T13:00:00Z,458631.5144241119,455201.94904901617,3429.565375095757,3429.565375095757,rolling_mean_6h
2026-05-22T14:00:00Z,458008.78158310306,456037.52250300953,1971.2590800935286,1971.2590800935286,rolling_mean_6h
2026-05-22T15:00:00Z,466587.53526186425,458379.05761567684,8208.477646187413,8208.477646187413,rolling_mean_6h
2026-05-22T16:00:00Z,415795.6367,465593.78665782785,-49798.149957827874,49798.149957827874,rolling_mean_6h
2026-05-22T17:00:00Z,510460.1498,455063.5278832345,55396.62191676552,55396.62191676552,rolling_mean_6h
2026-05-22T18:00:00Z,460608.5326633166,473905.9925948465,-13297.459931529942,13297.459931529942,rolling_mean_6h
2026-05-22T19:00:00Z,446207.4504279987,461682.02507206594,-15474.574644067266,15474.574644067266,rolling_mean_6h
2026-05-22T20:00:00Z,492311.415546464,459611.3477393805,32700.067807083484,32700.067807083484,rolling_mean_6h
2026-05-22T21:00:00Z,452810.7112864078,465328.45339994057,-12517.74211353279,12517.74211353279,rolling_mean_6h
2026-05-22T22:00:00Z,498374.1289916344,463032.3160706978,35341.812920936616,35341.812920936616,rolling_mean_6h
2026-05-22T23:00:00Z,474481.3904462602,476795.39811930363,-2314.0076730434084,2314.0076730434084,rolling_mean_6h
2026-05-23T00:00:00Z,480139.32794053346,470798.9382270136,9340.389713519835,9340.389713519835,rolling_mean_6h
2026-05-23T01:00:00Z,507699.05197354825,474054.07077321643,33644.98120033182,33644.98120033182,rolling_mean_6h
2026-05-23T02:00:00Z,445897.40082014113,484302.671030808,-38405.27021066687,38405.27021066687,rolling_mean_6h
2026-05-23T03:00:00Z,453042.5094960511,476567.00190975424,-23524.49241370312,23524.49241370312,rolling_mean_6h
2026-05-23T04:00:00Z,477660.7372282858,476605.63494469476,1055.1022835910553,1055.1022835910553,rolling_mean_6h
2026-05-23T05:00:00Z,469971.1539407702,473153.4029841367,-3182.2490433665225,3182.2490433665225,rolling_mean_6h
2026-05-23T06:00:00Z,455464.3011684885,472401.69689988834,-16937.395731399825,16937.395731399825,rolling_mean_6h
2026-05-23T07:00:00Z,447383.64625472325,468289.19243788085,-20905.546183157596,20905.546183157596,rolling_mean_6h
2026-05-23T08:00:00Z,419669.0200168366,458236.62481807667,-38567.604801240086,38567.604801240086,rolling_mean_6h
2026-05-23T09:00:00Z,477196.9188252091,453865.2280175259,23331.69080768316,23331.69080768316,rolling_mean_6h
2026-05-23T10:00:00Z,429706.534965035,457890.96290571894,-28184.427940683963,28184.427940683963,rolling_mean_6h
2026-05-23T11:00:00Z,437399.9480293663,449898.5958618438,-12498.647832477465,12498.647832477465,rolling_mean_6h
2026-05-23T12:00:00Z,445001.58891848696,444470.0615432765,531.527375210484,531.527375210484,rolling_mean_6h
2026-05-23T13:00:00Z,477548.02013025456,442726.27616827626,34821.743961978296,34821.743961978296,rolling_mean_6h
2026-05-23T14:00:00Z,442707.3206985244,447753.67181419814,-5046.351115673722,5046.351115673722,rolling_mean_6h
2026-05-23T15:00:00Z,415684.9724157147,451593.38859447936,-35908.41617876466,35908.41617876466,rolling_mean_6h
2026-05-23T16:00:00Z,411489.0779607221,441341.3975262304,-29852.31956550828,29852.31956550828,rolling_mean_6h
2026-05-23T17:00:00Z,556321.1853171774,438305.1546921781,118016.03062499932,118016.03062499932,rolling_mean_6h
2026-05-23T18:00:00Z,436176.2917889951,458125.36090681335,-21949.06911781826,21949.06911781826,rolling_mean_6h
2026-05-23T19:00:00Z,454348.6146670361,456654.47805189807,-2305.8633848619647,2305.8633848619647,rolling_mean_6h
2026-05-23T20:00:00Z,485652.6552289495,452787.91047469503,32864.74475425447,32864.74475425447,rolling_mean_6h
2026-05-23T21:00:00Z,539407.0008071025,459945.46622976585,79461.53457733669,79461.53457733669,rolling_mean_6h
2026-05-23T22:00:00Z,508501.64700926706,480565.80429499707,27935.842714269995,27935.842714269995,rolling_mean_6h
2026-05-23T23:00:00Z,486909.9227656896,496734.565803088,-9824.643037398404,9824.643037398404,rolling_mean_6h
2026-05-24T00:00:00Z,439064.4358339894,485166.0220445066,-46101.58621051721,46101.58621051721,rolling_mean_6h
2026-05-24T01:00:00Z,497571.5731369836,485647.3793853389,11924.193751644692,11924.193751644692,rolling_mean_6h
2026-05-24T02:00:00Z,518625.7659149301,492851.2057969969,25774.5601179332,25774.5601179332,rolling_mean_6h
2026-05-24T03:00:00Z,516703.5785140363,498346.7242446604,18356.85426937591,18356.85426937591,rolling_mean_6h
2026-05-24T04:00:00Z,504250.4825455972,494562.8205291494,9687.662016447808,9687.662016447808,rolling_mean_6h
2026-05-24T05:00:00Z,477117.99981821486,493854.2931185377,-16736.29330032284,16736.29330032284,rolling_mean_6h
2026-05-24T06:00:00Z,445723.99540669855,492222.3059606252,-46498.310553926625,46498.310553926625,rolling_mean_6h
2026-05-24T07:00:00Z,433332.7342028986,493332.2325560767,-59999.49835317815,59999.49835317815,rolling_mean_6h
2026-05-24T08:00:00Z,488661.03599434375,482625.7594003959,6035.276593947841,6035.276593947841,rolling_mean_6h
2026-05-24T09:00:00Z,493386.542577618,477631.6377469649,15754.904830653104,15754.904830653104,rolling_mean_6h
2026-05-24T10:00:00Z,459141.5745709213,473745.46509089513,-14603.890519973822,14603.890519973822,rolling_mean_6h
2026-05-24T11:00:00Z,494310.54921105393,466227.3137617824,28083.23544927151,28083.23544927151,rolling_mean_6h
2026-05-24T12:00:00Z,487535.1200256055,469092.7386605891,18442.381365016394,18442.381365016394,rolling_mean_6h
2026-05-24T13:00:00Z,448618.0992833052,476061.25943040685,-27443.160147101677,27443.160147101677,rolling_mean_6h
2026-05-24T14:00:00Z,432491.5004166667,478608.82027714123,-46117.319860474556,46117.319860474556,rolling_mean_6h
2026-05-24T15:00:00Z,434521.1933410252,469247.2310141951,-34726.03767316986,34726.03767316986,rolling_mean_6h
2026-05-24T16:00:00Z,449855.47778719285,459436.33947476296,-9580.861687570112,9580.861687570112,rolling_mean_6h
2026-05-24T17:00:00Z,487959.11624938634,457888.6566774749,30070.45957191143,30070.45957191143,rolling_mean_6h
2026-05-24T18:00:00Z,515907.88624987734,456830.0845171969,59077.80173268041,59077.80173268041,rolling_mean_6h
2026-05-24T19:00:00Z,459872.04831015936,461558.878887909,-1686.8305777496425,1686.8305777496425,rolling_mean_6h
2026-05-24T20:00:00Z,500763.40423591406,463434.5370590513,37328.86717686278,37328.86717686278,rolling_mean_6h
2026-05-24T21:00:00Z,462705.6969579789,474813.18769559247,-12107.490737613582,12107.490737613582,rolling_mean_6h
2026-05-24T22:00:00Z,473968.98053643486,479510.60496508476,-5541.624428649899,5541.624428649899,rolling_mean_6h
2026-05-24T23:00:00Z,522086.00119124976,483529.5220899585,38556.479101291276,38556.479101291276,rolling_mean_6h
2026-05-25T00:00:00Z,513545.9328833539,489217.3362469357,24328.596636418195,24328.596636418195,rolling_mean_6h
2026-05-25T01:00:00Z,484450.5049622438,488823.6773525151,-4373.1723902713275,4373.1723902713275,rolling_mean_6h
2026-05-25T02:00:00Z,449535.0912856056,492920.08679452917,-43384.995508923545,43384.995508923545,rolling_mean_6h
2026-05-25T03:00:00Z,458318.6152950842,484382.03463614447,-26063.419341060275,26063.419341060275,rolling_mean_6h
2026-05-25T04:00:00Z,412383.4908689078,483650.85435899533,-71267.36349008756,71267.36349008756,rolling_mean_6h
2026-05-25T05:00:00Z,460071.4571050892,473386.60608107416,-13315.14897598495,13315.14897598495,rolling_mean_6h
2026-05-25T06:00:00Z,469394.6165215307,463050.8487333807,6343.7677881499985,6343.7677881499985,rolling_mean_6h
2026-05-25T07:00:00Z,523260.98641748365,455692.2960064102,67568.69041107345,67568.69041107345,rolling_mean_6h
2026-05-25T08:00:00Z,473015.499486231,462160.70958228345,10854.78990394756,10854.78990394756,rolling_mean_6h
2026-05-25T09:00:00Z,498510.3714985042,466074.11094905436,32436.260549449828,32436.260549449828,rolling_mean_6h
2026-05-25T10:00:00Z,494618.55489503994,472772.7369829577,21845.817912082246,21845.817912082246,rolling_mean_6h
2026-05-25T11:00:00Z,460177.0694,486478.58098731324,-26301.51158731326,26301.51158731326,rolling_mean_6h
2026-05-25T12:00:00Z,503065.5314,486496.1830364649,16569.34836353507,16569.34836353507,rolling_mean_6h
2026-05-25T13:00:00Z,553316.0947,492108.0021828765,61208.0925171235,61208.0925171235,rolling_mean_6h
2026-05-25T14:00:00Z,546191.7385,497117.18689662917,49074.55160337081,49074.55160337081,rolling_mean_6h
2026-05-25T15:00:00Z,566221.9379,509313.2267322573,56908.71116774273,56908.71116774273,rolling_mean_6h
2026-05-25T16:00:00Z,610588.2783,520598.4877991734,89989.79050082661,89989.79050082661,rolling_mean_6h
2026-05-25T17:00:00Z,526853.7828,539926.7750333332,-13072.992233333178,13072.992233333178,rolling_mean_6h
2026-05-25T18:00:00Z,492735.50660928374,551039.5606000001,-58304.05399071635,58304.05399071635,rolling_mean_6h
2026-05-25T19:00:00Z,465680.10360316373,549317.8898015473,-83637.78619838355,83637.78619838355,rolling_mean_6h
2026-05-25T20:00:00Z,491927.3897889053,534711.8912854079,-42784.501496502664,42784.501496502664,rolling_mean_6h
2026-05-25T21:00:00Z,533642.7518700577,525667.8331668922,7974.918703165487,7974.918703165487,rolling_mean_6h
2026-05-25T22:00:00Z,546312.2189538988,520237.9688285684,26074.25012533035,26074.25012533035,rolling_mean_6h
2026-05-25T23:00:00Z,531557.711100148,509525.29227088485,22032.418829263188,22032.418829263188,rolling_mean_6h
2026-05-26T00:00:00Z,529114.9389022591,510309.2803209095,18805.65858134959,18805.65858134959,rolling_mean_6h
2026-05-26T01:00:00Z,551512.4230934941,516372.5190364054,35139.904057088715,35139.904057088715,rolling_mean_6h
2026-05-26T02:00:00Z,538013.817001385,530677.9056181271,7335.911383257946,7335.911383257946,rolling_mean_6h
2026-05-26T03:00:00Z,535238.6739462764,538358.9768202071,-3120.302873930661,3120.302873930661,rolling_mean_6h
