hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-04-29T17:00:00Z,2065462.702,2055829.8077193953,9632.894280604785,9632.894280604785,ridge_alpha_10
2026-04-29T18:00:00Z,2200953.5904471544,1981797.4853179292,219156.10512922518,219156.10512922518,ridge_alpha_10
2026-04-29T19:00:00Z,2258368.087,2223924.9769833772,34443.11001662258,34443.11001662258,ridge_alpha_10
2026-04-29T20:00:00Z,2178001.817,2092501.326150531,85500.49084946886,85500.49084946886,ridge_alpha_10
2026-04-29T21:00:00Z,2514244.224199288,2133779.647513719,380464.57668556925,380464.57668556925,ridge_alpha_10
2026-04-29T22:00:00Z,2510788.554,2215564.183944824,295224.37005517585,295224.37005517585,ridge_alpha_10
2026-04-29T23:00:00Z,2500565.977,2281754.9488434223,218811.0281565776,218811.0281565776,ridge_alpha_10
2026-04-30T00:00:00Z,2334428.01,2306499.586399727,27928.42360027274,27928.42360027274,ridge_alpha_10
2026-04-30T01:00:00Z,2339255.752,2299609.7008932233,39646.05110677658,39646.05110677658,ridge_alpha_10
2026-04-30T02:00:00Z,2255534.344,2282824.012225634,-27289.66822563391,27289.66822563391,ridge_alpha_10
2026-04-30T03:00:00Z,2099129.676,2366086.659125542,-266956.9831255418,266956.9831255418,ridge_alpha_10
2026-04-30T04:00:00Z,1979705.368,2337371.6043126825,-357666.2363126825,357666.2363126825,ridge_alpha_10
2026-04-30T05:00:00Z,2160573.036199095,2318382.5795221548,-157809.54332305957,157809.54332305957,ridge_alpha_10
2026-04-30T06:00:00Z,2258889.587995931,2154330.6664307555,104558.92156517552,104558.92156517552,ridge_alpha_10
2026-04-30T07:00:00Z,2164492.588,2177787.274780836,-13294.686780835968,13294.686780835968,ridge_alpha_10
2026-04-30T08:00:00Z,2688817.026,2063399.7217401399,625417.3042598602,625417.3042598602,ridge_alpha_10
2026-04-30T09:00:00Z,2248334.549,2188133.577284122,60200.97171587823,60200.97171587823,ridge_alpha_10
2026-04-30T10:00:00Z,2213659.223,2171220.7544500665,42438.46854993375,42438.46854993375,ridge_alpha_10
2026-04-30T11:00:00Z,2208372.4193216856,2202047.371097643,6325.048224042635,6325.048224042635,ridge_alpha_10
2026-04-30T12:00:00Z,2484214.598,2210538.9794055875,273675.6185944127,273675.6185944127,ridge_alpha_10
2026-04-30T13:00:00Z,2012212.728,2169707.0793458335,-157494.35134583362,157494.35134583362,ridge_alpha_10
2026-04-30T14:00:00Z,2118182.683,2159725.6855090344,-41543.00250903424,41543.00250903424,ridge_alpha_10
2026-04-30T15:00:00Z,2779447.357,2001341.2367955102,778106.1202044897,778106.1202044897,ridge_alpha_10
2026-04-30T16:00:00Z,2407159.006018054,2172624.4905851423,234534.51543291193,234534.51543291193,ridge_alpha_10
2026-04-30T17:00:00Z,2499799.029,2260517.203758515,239281.82524148514,239281.82524148514,ridge_alpha_10
2026-04-30T18:00:00Z,2483080.772,2211319.2679929845,271761.5040070154,271761.5040070154,ridge_alpha_10
2026-04-30T19:00:00Z,2465625.806,2100806.233220183,364819.57277981704,364819.57277981704,ridge_alpha_10
2026-04-30T20:00:00Z,2024023.3218449063,2266018.6876955535,-241995.3658506472,241995.3658506472,ridge_alpha_10
2026-04-30T21:00:00Z,2284573.637,2207671.390552146,76902.24644785421,76902.24644785421,ridge_alpha_10
2026-04-30T22:00:00Z,2083030.997,2095649.9583853688,-12618.961385368835,12618.961385368835,ridge_alpha_10
2026-04-30T23:00:00Z,2481980.744,2170516.07428468,311464.66971531976,311464.66971531976,ridge_alpha_10
2026-05-01T00:00:00Z,2138619.666,2217294.261705625,-78674.59570562467,78674.59570562467,ridge_alpha_10
2026-05-01T01:00:00Z,2074058.649,2226362.6305363704,-152303.98153637047,152303.98153637047,ridge_alpha_10
2026-05-01T02:00:00Z,2183022.658,2149057.254668483,33965.403331516776,33965.403331516776,ridge_alpha_10
2026-05-01T03:00:00Z,2227110.432,2196980.082989402,30130.349010597914,30130.349010597914,ridge_alpha_10
2026-05-01T04:00:00Z,2934953.399,2138185.5030198223,796767.8959801779,796767.8959801779,ridge_alpha_10
2026-05-01T05:00:00Z,2110072.8316998985,2390015.078636924,-279942.24693702534,279942.24693702534,ridge_alpha_10
2026-05-01T06:00:00Z,797789.053,2276367.0381498323,-1478577.9851498324,1478577.9851498324,ridge_alpha_10
2026-05-01T07:00:00Z,408464.503,1900971.2412184323,-1492506.7382184323,1492506.7382184323,ridge_alpha_10
2026-05-01T08:00:00Z,405679.806,1610782.5381893753,-1205102.7321893754,1205102.7321893754,ridge_alpha_10
2026-05-01T09:00:00Z,418852.2251889169,1217865.2400140776,-799013.0148251607,799013.0148251607,ridge_alpha_10
2026-05-01T10:00:00Z,395450.699,1153529.2125040435,-758078.5135040435,758078.5135040435,ridge_alpha_10
