model_name,feature,coefficient_scaled,abs_coefficient_scaled,tree_importance
ridge_alpha_1,avg_action_fee,64740.44968531573,64740.44968531573,
ridge_alpha_1,std_total_fee,-60129.61200169105,60129.61200169105,
ridge_alpha_1,p90_fee_change_6h,53339.89006892333,53339.89006892333,
ridge_alpha_1,avg_out_msg_count,-46537.46542090552,46537.46542090552,
ridge_alpha_1,avg_msgs_created,44784.72138218733,44784.72138218733,
ridge_alpha_1,rolling_avg_fee_12h,43773.58127782105,43773.58127782105,
ridge_alpha_1,avg_gas_used,42914.16468981764,42914.16468981764,
ridge_alpha_1,day_of_week,-41091.46917133144,41091.46917133144,
ridge_alpha_1,avg_compute_fee,40447.40354240332,40447.40354240332,
ridge_alpha_1,avg_storage_fee,39611.22966243294,39611.22966243294,
ridge_alpha_1,fee_lag_1h,-37046.58873900428,37046.58873900428,
ridge_alpha_1,hour_cos,34264.54015564734,34264.54015564734,
ridge_alpha_1,avg_vm_steps,-29954.9087865557,29954.9087865557,
ridge_alpha_1,fee_lag_6h,29887.365319576646,29887.365319576646,
ridge_alpha_1,gas_used_change_6h,27852.168850261092,27852.168850261092,
ridge_alpha_1,p90_fee_change_1h,26087.417790886248,26087.417790886248,
ridge_alpha_1,day_sin,-23668.912658657307,23668.912658657307,
ridge_alpha_1,max_total_fee,23376.973495701957,23376.973495701957,
ridge_alpha_1,fee_change_12h,22951.692239576943,22951.692239576943,
ridge_alpha_1,gas_used_change_3h,22855.026895158306,22855.026895158306,
ridge_alpha_1,avg_msg_size_cells,-22683.60273435439,22683.60273435439,
ridge_alpha_1,action_success_ratio,20389.016748972863,20389.016748972863,
ridge_alpha_1,rolling_std_fee_6h,-19711.173595040415,19711.173595040415,
ridge_alpha_1,rolling_avg_fee_3h,14654.173395105303,14654.173395105303,
ridge_alpha_1,gas_used_change_1h,-14062.226870585895,14062.226870585895,
ridge_alpha_1,fee_change_6h,-13135.345355520825,13135.345355520825,
ridge_alpha_1,rolling_avg_fee_24h,13071.821439857235,13071.821439857235,
ridge_alpha_1,gas_used_change_24h,-13063.462495569744,13063.462495569744,
